x y z
-20.0 -20.0 0.027074836563480725
-20.0 -19.597989949748744 0.031579879622454794
-20.0 -19.195979899497488 0.036576319672082996
-20.0 -18.79396984924623 0.04221187524423182
-20.0 -18.391959798994975 0.04856189083422097
-20.0 -17.98994974874372 0.05569658166450376
-20.0 -17.587939698492463 0.06368690126659109
-20.0 -17.185929648241206 0.07260522443576943
-20.0 -16.78391959798995 0.08252506114903906
-20.0 -16.381909547738694 0.09352044589606423
-20.0 -15.979899497487438 0.10566515011847655
-20.0 -15.577889447236181 0.11903176337794233
-20.0 -15.175879396984925 0.13369066336863336
-20.0 -14.773869346733669 0.14970888876301006
-20.0 -14.371859296482413 0.16714892867466247
-20.0 -13.969849246231156 0.1860674443428301
-20.0 -13.5678391959799 0.20651394108424226
-20.0 -13.165829145728644 0.22852941090108467
-20.0 -12.763819095477388 0.2521449677739805
-20.0 -12.361809045226131 0.2773804978349016
-20.0 -11.959798994974875 0.30424334411203374
-20.0 -11.557788944723619 0.33272703837561246
-20.0 -11.155778894472359 0.36281007738949433
-20.0 -10.753768844221106 0.39445471176130387
-20.0 -10.35175879396985 0.4276056627335061
-20.0 -9.949748743718594 0.46218858954082054
-20.0 -9.547738693467338 0.4981079725746205
-20.0 -9.145728643216078 0.5352438218992142
-20.0 -8.743718592964825 0.5734462334421543
-20.0 -8.341708542713569 0.6125262998858625
-20.0 -7.939698492462313 0.6522413771818173
-20.0 -7.5376884422110555 0.6922726824426864
-20.0 -7.1356783919597975 0.7321947491200654
-20.0 -6.733668341708544 0.7714411972273787
-20.0 -6.331658291457288 0.8092811064277685
-20.0 -5.9296482412060305 0.8448328475268289
-20.0 -5.527638190954774 0.877146789912491
-20.0 -5.125628140703516 0.9053670961760102
-20.0 -4.723618090452263 0.9289307588518952
-20.0 -4.321608040201006 0.9477129965615809
-20.0 -3.9195979899497484 0.9620384157254283
-20.0 -3.517587939698494 0.9725550851009446
-20.0 -3.115577889447236 0.9800464033243524
-20.0 -2.7135678391959814 0.9852682287342878
-20.0 -2.3115577889447216 0.9888552394615944
-20.0 -1.9095477386934672 0.9912926540700344
-20.0 -1.5075376884422127 0.9929277966910297
-20.0 -1.1055276381909547 0.993997196533519
-20.0 -0.7035175879397002 0.9946544185902282
-20.0 -0.3015075376884404 0.9949922375263909
-20.0 0.10050251256281229 0.9950575580038017
-20.0 0.5025125628140685 0.9948593724643809
-20.0 0.9045226130653283 0.9943703170221735
-20.0 1.306532663316581 0.9935219667796559
-20.0 1.7085427135678408 0.992193474778095
-20.0 2.1105527638190935 0.9901929953079989
-20.0 2.5125628140703498 0.9872322661338929
-20.0 2.9145728643216096 0.9828978994812804
-20.0 3.3165829145728623 0.9766295611578669
-20.0 3.718592964824122 0.9677248530506471
-20.0 4.120603015075375 0.955397742661826
-20.0 4.522613065326632 0.9389088674510346
-20.0 4.924623115577891 0.9177499763628871
-20.0 5.3266331658291435 0.8918129171712396
-20.0 5.728643216080403 0.8614525711959107
-20.0 6.1306532663316595 0.82740230035014
-20.0 6.532663316582913 0.7905891052417118
-20.0 6.934673366834172 0.7519441496412629
-20.0 7.336683417085425 0.7122790855175005
-20.0 7.7386934673366845 0.6722411878136
-20.0 8.14070351758794 0.6323222802247643
-20.0 8.542713567839193 0.5928902446344657
-20.0 8.944723618090453 0.5542224602637535
-20.0 9.346733668341706 0.5165324225543567
-20.0 9.748743718592966 0.4799880996326128
-20.0 10.150753768844222 0.44472357181337036
-20.0 10.552763819095475 0.41084607635509846
-20.0 10.954773869346734 0.37844022309643854
-20.0 11.356783919597987 0.34757060397735934
-20.0 11.758793969849247 0.3182835626938764
-20.0 12.160804020100505 0.29060857248867883
-20.0 12.562814070351756 0.26455946813119385
-20.0 12.964824120603014 0.24013565679611512
-20.0 13.366834170854268 0.21732336227474053
-20.0 13.768844221105526 0.19609691753641448
-20.0 14.170854271356786 0.17642009942369855
-20.0 14.572864321608037 0.15824748861819288
-20.0 14.974874371859299 0.1415258334998038
-20.0 15.376884422110557 0.1261953955420832
-20.0 15.778894472361808 0.11219125490534695
-20.0 16.18090452261307 0.09944455696142211
-20.0 16.58291457286432 0.0878836829506811
-20.0 16.984924623115575 0.07743533021538135
-20.0 17.386934673366838 0.06802548852299996
-20.0 17.788944723618087 0.05958029662360133
-20.0 18.19095477386935 0.05202675031223597
-20.0 18.5929648241206 0.04529318292211244
-20.0 18.994974874371863 0.039309221782265605
-20.0 19.39698492462312 0.034003675658351225
-20.0 19.79899497487437 0.02928658410300075
-19.195979899497488 -20.0 0.027074836563480725
-19.195979899497488 -19.597989949748744 0.031579879622454794
-19.195979899497488 -19.195979899497488 0.036576319672082996
-19.195979899497488 -18.79396984924623 0.04221187524423182
-19.195979899497488 -18.391959798994975 0.04856189083422097
-19.195979899497488 -17.98994974874372 0.05569658166450376
-19.195979899497488 -17.587939698492463 0.06368690126659109
-19.195979899497488 -17.185929648241206 0.07260522443576943
-19.195979899497488 -16.78391959798995 0.08252506114903906
-19.195979899497488 -16.381909547738694 0.09352044589606423
-19.195979899497488 -15.979899497487438 0.10566515011847655
-19.195979899497488 -15.577889447236181 0.11903176337794233
-19.195979899497488 -15.175879396984925 0.13369066336863336
-19.195979899497488 -14.773869346733669 0.14970888876301006
-19.195979899497488 -14.371859296482413 0.16714892867466247
-19.195979899497488 -13.969849246231156 0.1860674443428301
-19.195979899497488 -13.5678391959799 0.20651394108424226
-19.195979899497488 -13.165829145728644 0.22852941090108467
-19.195979899497488 -12.763819095477388 0.2521449677739805
-19.195979899497488 -12.361809045226131 0.2773804978349016
-19.195979899497488 -11.959798994974875 0.30424334411203374
-19.195979899497488 -11.557788944723619 0.33272703837561246
-19.195979899497488 -11.155778894472359 0.36281007738949433
-19.195979899497488 -10.753768844221106 0.39445471176130387
